"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Tefibazumab|Plasma (Peripheral Venous Blood) [µmol/l]"
0,13275,1.152165
0,13290,1.151716
0,13305,1.151267
0,13320,1.150818
0,13335,1.150369
0,13350,1.149921
0,13365,1.149473
0,13380,1.149026
0,13395,1.148579
0,13410,1.148132
0,13425,1.147685
0,13440,1.147239
0,13455,1.146793
0,13470,1.146348
0,13485,1.145902
0,13500,1.145457
0,13515,1.145013
0,13530,1.144568
0,13545,1.144125
0,13560,1.143681
0,13575,1.143237
0,13590,1.142794
0,13605,1.142352
0,13620,1.141909
0,13635,1.141467
0,13650,1.141026
0,13665,1.140584
0,13680,1.140143
0,13695,1.139702
0,13710,1.139262
0,13725,1.138821
0,13740,1.138382
0,13755,1.137942
0,13770,1.137503
0,13785,1.137064
0,13800,1.136625
0,13815,1.136187
0,13830,1.135749
0,13845,1.135311
0,13860,1.134873
0,13875,1.134436
0,13890,1.133999
0,13905,1.133563
0,13920,1.133126
0,13935,1.13269
0,13950,1.132255
0,13965,1.131819
0,13980,1.131384
0,13995,1.130949
0,14010,1.130515
0,14025,1.130081
0,14040,1.129647
0,14055,1.129213
0,14070,1.12878
0,14085,1.128347
0,14100,1.127914
0,14115,1.127481
0,14130,1.127049
0,14145,1.126617
0,14160,1.126186
0,14175,1.125754
0,14190,1.125323
0,14205,1.124893
0,14220,1.124462
0,14235,1.124032
0,14250,1.123602
0,14265,1.123172
0,14280,1.122743
0,14295,1.122314
0,14310,1.121885
0,14325,1.121457
0,14340,1.121028
0,14355,1.1206
0,14370,1.120173
0,14385,1.119745
0,14400,1.119318
0,14415,1.118891
0,14430,1.118464
0,14445,1.118038
0,14460,1.117612
0,14475,1.117186
0,14490,1.116761
0,14505,1.116336
0,14520,1.115911
0,14535,1.115486
0,14550,1.115061
0,14565,1.114637
0,14580,1.114213
0,14595,1.11379
0,14610,1.113366
0,14625,1.112943
0,14640,1.11252
0,14655,1.112098
0,14670,1.111675
0,14685,1.111253
0,14700,1.110831
0,14715,1.11041
0,14730,1.109989
0,14745,1.109568
0,14760,1.109147
0,14775,1.108726
0,14790,1.108306
0,14805,1.107886
0,14820,1.107466
0,14835,1.107047
0,14850,1.106627
0,14865,1.106209
0,14880,1.10579
0,14895,1.105371
0,14910,1.104953
0,14925,1.104535
0,14940,1.104118
0,14955,1.1037
0,14970,1.103283
0,14985,1.102866
0,15000,1.102449
0,15015,1.102033
0,15030,1.101617
0,15045,1.1012
0,15060,1.100785
0,15075,1.100369
0,15090,1.099954
0,15105,1.099539
0,15120,1.099124
0,15135,1.09871
0,15150,1.098296
0,15165,1.097882
0,15180,1.097468
0,15195,1.097054
0,15210,1.096641
0,15225,1.096228
0,15240,1.095815
0,15255,1.095403
0,15270,1.09499
0,15285,1.094578
0,15300,1.094167
0,15315,1.093755
0,15330,1.093343
0,15345,1.092932
0,15360,1.092522
0,15375,1.092111
0,15390,1.0917
0,15405,1.09129
0,15420,1.09088
0,15435,1.090471
0,15450,1.090061
0,15465,1.089652
0,15480,1.089243
0,15495,1.088834
0,15510,1.088426
0,15525,1.088017
0,15540,1.087609
0,15555,1.087201
0,15570,1.086794
0,15585,1.086386
0,15600,1.085979
0,15615,1.085572
0,15630,1.085166
0,15645,1.084759
0,15660,1.084353
0,15675,1.083947
0,15690,1.083541
0,15705,1.083135
0,15720,1.08273
0,15735,1.082325
0,15750,1.08192
0,15765,1.081515
0,15780,1.081111
0,15795,1.080707
0,15810,1.080303
0,15825,1.079899
0,15840,1.079495
0,15855,1.079092
0,15870,1.078689
0,15885,1.078286
0,15900,1.077883
0,15915,1.077481
0,15930,1.077079
0,15945,1.076677
0,15960,1.076275
0,15975,1.075873
0,15990,1.075472
0,16005,1.075071
0,16020,1.07467
0,16035,1.074269
0,16050,1.073869
0,16065,1.073468
0,16080,1.073068
0,16095,1.072669
0,16110,1.072269
0,16125,1.071869
0,16140,1.07147
0,16155,1.071071
0,16170,1.070673
0,16185,1.070274
0,16200,1.069876
0,16215,1.069477
0,16230,1.06908
0,16245,1.068682
0,16260,1.068284
0,16275,1.067887
0,16290,1.06749
0,16305,1.067093
0,16320,1.066696
0,16335,1.0663
0,16350,1.065904
0,16365,1.065508
0,16380,1.065112
0,16395,1.064716
0,16410,1.064321
0,16425,1.063925
0,16440,1.06353
0,16455,1.063136
0,16470,1.062741
0,16485,1.062346
0,16500,1.061952
0,16515,1.061558
0,16530,1.061164
0,16545,1.060771
0,16560,1.060377
0,16575,1.059984
0,16590,1.059591
0,16605,1.059199
0,16620,1.058806
0,16635,1.058414
0,16650,1.058021
0,16665,1.057629
0,16680,1.057238
0,16695,1.056846
0,16710,1.056455
0,16725,1.056064
0,16740,1.055673
0,16755,1.055282
0,16770,1.054891
0,16785,1.054501
0,16800,1.054111
0,16815,1.053721
0,16830,1.053331
0,16845,1.052941
0,16860,1.052552
0,16875,1.052163
0,16890,1.051774
0,16905,1.051385
0,16920,1.050996
0,16935,1.050608
0,16950,1.05022
0,16965,1.049832
0,16980,1.049444
0,16995,1.049056
0,17010,1.048669
0,17025,1.048281
0,17040,1.047894
0,17055,1.047507
0,17070,1.047121
0,17085,1.046734
0,17100,1.046348
0,17115,1.045962
0,17130,1.045576
0,17145,1.04519
0,17160,1.044805
0,17175,1.044419
0,17190,1.044034
0,17205,1.043649
0,17220,1.043264
0,17235,1.04288
0,17250,1.042495
0,17265,1.042111
0,17280,1.041727
0,17295,1.041343
0,17310,1.040959
0,17325,1.040576
0,17340,1.040193
0,17355,1.03981
0,17370,1.039427
0,17385,1.039044
0,17400,1.038661
0,17415,1.038279
0,17430,1.037897
0,17445,1.037515
0,17460,1.037133
0,17475,1.036752
0,17490,1.03637
0,17505,1.035989
0,17520,1.035608
0,17535,1.035227
0,17550,1.034846
0,17565,1.034466
0,17580,1.034085
0,17595,1.033705
0,17610,1.033325
0,17625,1.032945
0,17640,1.032566
0,17655,1.032186
0,17670,1.031807
0,17685,1.031428
0,17700,1.031049
0,17715,1.03067
0,17730,1.030292
0,17745,1.029913
0,17760,1.029535
0,17775,1.029157
0,17790,1.028779
0,17805,1.028402
0,17820,1.028024
0,17835,1.027647
0,17850,1.02727
0,17865,1.026893
0,17880,1.026516
0,17895,1.026139
0,17910,1.025763
0,17925,1.025387
0,17940,1.025011
0,17955,1.024635
0,17970,1.024259
0,17985,1.023884
0,18000,1.023508
0,18015,1.023133
0,18030,1.022758
0,18045,1.022383
0,18060,1.022009
0,18075,1.021634
0,18090,1.02126
0,18105,1.020886
0,18120,1.020512
0,18135,1.020138
0,18150,1.019764
0,18165,1.019391
0,18180,1.019018
0,18195,1.018645
0,18210,1.018272
0,18225,1.017899
0,18240,1.017526
0,18255,1.017154
0,18270,1.016782
0,18285,1.01641
0,18300,1.016038
0,18315,1.015666
0,18330,1.015294
0,18345,1.014923
0,18360,1.014552
0,18375,1.014181
0,18390,1.01381
0,18405,1.013439
0,18420,1.013068
0,18435,1.012698
0,18450,1.012328
0,18465,1.011958
0,18480,1.011588
0,18495,1.011218
0,18510,1.010849
0,18525,1.010479
0,18540,1.01011
0,18555,1.009741
0,18570,1.009372
0,18585,1.009003
0,18600,1.008635
0,18615,1.008266
0,18630,1.007898
0,18645,1.00753
0,18660,1.007162
0,18675,1.006794
0,18690,1.006427
0,18705,1.00606
0,18720,1.005692
0,18735,1.005325
0,18750,1.004958
0,18765,1.004592
0,18780,1.004225
0,18795,1.003859
0,18810,1.003492
0,18825,1.003126
0,18840,1.00276
0,18855,1.002395
0,18870,1.002029
0,18885,1.001664
0,18900,1.001298
0,18915,1.000933
0,18930,1.000568
0,18945,1.000203
0,18960,0.9998387
0,18975,0.9994743
